fav_partners,project_prefs
"[49, 104, 483, 797]","[3, 3, 1, 1, 0, 2, 3, 1, 0, 2, 2, 2, 1, 3, 1, 0, 0, 2, 3, 0, 0, 0, 2, 2, 0, 2, 0, 1, 2, 0, 0, 3, 3, 1, 2, 1, 1, 1, 1, 0, 0, 3, 3, 1, 3, 1, 1, 0, 2, 1, 2, 0, 3, 3, 1, 3, 2, 3, 1, 3, 1, 1, 3, 2, 3, 2, 3, 1, 1, 3, 0, 1, 2, 2, 0, 2, 3, 1, 3, 1, 2, 2, 0, 2, 0, 3, 0, 0, 0, 0]"
"[21, 34]","[3, 2, 3, 2, 0, 3, 0, 3, 2, 0, 2, 0, 0, 2, 0, 0, 0, 0, 1, 3, 2, 0, 0, 1, 0, 1, 1, 1, 3, 2, 3, 1, 0, 3, 0, 1, 1, 3, 3, 0, 1, 1, 0, 1, 3, 3, 3, 2, 1, 0, 3, 1, 3, 1, 0, 2, 3, 3, 3, 3, 2, 1, 0, 2, 1, 2, 2, 1, 3, 2, 2, 3, 2, 2, 1, 0, 2, 2, 1, 0, 1, 3, 1, 2, 1, 3, 3, 1, 2, 2]"
"[633, 136, 646, 332, 108]","[3, 0, 3, 3, 0, 1, 0, 2, 2, 0, 3, 3, 1, 0, 1, 0, 3, 3, 2, 3, 3, 0, 2, 3, 0, 0, 0, 1, 1, 1, 2, 3, 1, 2, 3, 1, 0, 2, 1, 1, 1, 1, 0, 0, 3, 2, 2, 0, 3, 3, 1, 0, 1, 0, 3, 2, 0, 2, 0, 3, 1, 2, 3, 0, 3, 3, 3, 1, 1, 0, 0, 1, 3, 2, 2, 1, 0, 2, 2, 0, 1, 0, 3, 0, 3, 2, 2, 3, 1, 0]"
"[665, 355, 200, 393, 803]","[1, 1, 3, 1, 2, 0, 0, 1, 0, 2, 2, 3, 2, 2, 2, 2, 1, 0, 3, 0, 0, 1, 1, 2, 3, 1, 2, 2, 2, 2, 0, 0, 3, 0, 3, 3, 0, 0, 3, 1, 3, 1, 3, 0, 2, 3, 2, 2, 1, 0, 3, 2, 1, 0, 1, 3, 3, 1, 0, 1, 2, 1, 2, 0, 2, 2, 3, 1, 0, 1, 2, 1, 3, 2, 0, 0, 3, 3, 0, 1, 0, 2, 3, 1, 2, 3, 2, 1, 0, 2]"
"[114, 62, 625, 718]","[1, 0, 3, 3, 2, 2, 1, 1, 0, 3, 1, 1, 2, 1, 1, 3, 1, 0, 0, 1, 3, 3, 3, 0, 1, 2, 2, 0, 1, 2, 3, 3, 0, 2, 0, 3, 2, 1, 0, 0, 2, 3, 1, 2, 2, 0, 0, 0, 3, 1, 3, 1, 3, 3, 3, 1, 1, 0, 3, 0, 3, 2, 1, 0, 2, 3, 1, 3, 3, 0, 1, 2, 2, 2, 3, 0, 3, 0, 3, 2, 3, 2, 3, 0, 2, 1, 3, 3, 2, 3]"
"[630, 648, 346, 667]","[1, 3, 2, 0, 2, 1, 1, 2, 0, 1, 0, 3, 3, 2, 1, 0, 3, 2, 2, 3, 0, 0, 0, 1, 3, 0, 0, 3, 3, 1, 0, 2, 0, 1, 3, 0, 0, 0, 2, 1, 3, 1, 1, 1, 1, 0, 0, 3, 3, 2, 1, 0, 0, 0, 0, 1, 3, 2, 0, 3, 2, 0, 1, 0, 2, 2, 1, 1, 2, 1, 1, 1, 2, 0, 0, 2, 3, 3, 2, 1, 0, 2, 3, 0, 1, 0, 3, 0, 2, 2]"
[699],"[1, 0, 0, 0, 0, 1, 2, 0, 0, 2, 2, 3, 0, 0, 3, 1, 2, 2, 0, 1, 0, 2, 2, 2, 2, 0, 0, 3, 2, 2, 2, 0, 1, 3, 2, 1, 1, 0, 3, 2, 0, 1, 1, 1, 0, 2, 3, 0, 2, 1, 3, 1, 3, 0, 3, 1, 2, 2, 2, 0, 3, 0, 2, 3, 3, 2, 1, 1, 2, 3, 3, 2, 1, 1, 0, 3, 1, 1, 1, 0, 2, 3, 0, 0, 0, 2, 1, 1, 2, 3]"
"[304, 808, 870, 131, 397]","[3, 2, 2, 2, 2, 3, 1, 3, 1, 3, 1, 3, 2, 2, 0, 0, 1, 2, 2, 1, 0, 2, 2, 0, 0, 3, 1, 0, 3, 3, 0, 1, 0, 1, 1, 1, 2, 2, 0, 2, 2, 0, 2, 0, 2, 1, 3, 0, 3, 1, 3, 3, 2, 0, 2, 0, 0, 3, 3, 0, 1, 0, 0, 3, 0, 3, 1, 3, 2, 3, 0, 0, 1, 1, 1, 3, 1, 3, 1, 0, 0, 3, 3, 3, 2, 3, 2, 0, 1, 0]"
"[764, 894, 698]","[3, 3, 3, 2, 3, 1, 0, 0, 2, 3, 3, 1, 0, 1, 2, 1, 1, 2, 1, 3, 0, 2, 3, 1, 0, 2, 3, 1, 3, 3, 0, 2, 3, 2, 2, 3, 2, 3, 2, 0, 1, 3, 2, 1, 0, 2, 0, 3, 3, 1, 3, 1, 3, 2, 0, 0, 1, 2, 0, 1, 2, 0, 1, 1, 1, 3, 2, 2, 1, 1, 3, 0, 1, 3, 0, 0, 2, 3, 2, 1, 1, 2, 2, 1, 1, 2, 3, 2, 2, 3]"
[532],"[3, 3, 1, 3, 1, 2, 3, 3, 3, 0, 2, 3, 2, 0, 2, 3, 2, 3, 0, 0, 2, 2, 3, 2, 3, 0, 2, 3, 3, 0, 3, 2, 0, 2, 0, 3, 3, 1, 0, 2, 1, 1, 0, 3, 0, 0, 2, 2, 2, 0, 3, 1, 0, 3, 2, 3, 2, 1, 2, 1, 1, 1, 3, 1, 1, 2, 2, 1, 2, 1, 0, 3, 1, 1, 1, 3, 1, 3, 2, 0, 0, 2, 1, 0, 0, 2, 0, 3, 2, 2]"
