fav_partners,project_prefs
"[101, 69, 506, 350]","[1, 1, 2, 2, 0, 2, 3, 3, 2, 3, 0, 0, 1, 1, 0, 0, 1, 2, 2, 0, 2, 0, 0, 2, 2, 0, 3, 2, 1, 2, 3, 3, 2, 0, 2, 0, 2, 1, 0, 0, 2, 1, 2, 0, 1, 3, 2, 3, 1, 3, 3, 2, 3, 0, 1, 2, 2, 2, 3, 1]"
"[505, 327, 259]","[3, 1, 2, 3, 2, 1, 0, 1, 1, 1, 1, 3, 1, 2, 2, 2, 3, 2, 2, 3, 1, 2, 0, 3, 3, 2, 2, 1, 0, 1, 3, 3, 1, 2, 3, 3, 0, 1, 3, 3, 3, 3, 0, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2, 2, 3, 3, 1, 1, 0, 1]"
"[137, 115, 373, 70, 10]","[3, 1, 1, 3, 0, 3, 2, 2, 3, 2, 2, 0, 3, 1, 2, 2, 2, 1, 1, 1, 0, 3, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 2, 0, 0, 1, 2, 1, 1, 1, 2, 1, 0, 1, 3, 2, 3, 3, 3, 1, 3, 1, 0, 0, 1, 0, 1, 1, 0, 1]"
"[193, 449, 177, 535, 13]","[2, 2, 3, 2, 3, 1, 0, 2, 2, 1, 3, 3, 3, 1, 3, 2, 1, 2, 0, 0, 2, 0, 3, 1, 3, 2, 1, 1, 0, 3, 0, 2, 0, 0, 2, 2, 1, 1, 0, 1, 3, 3, 3, 3, 0, 1, 0, 1, 2, 0, 3, 1, 2, 3, 0, 0, 0, 1, 0, 0]"
"[545, 243, 14, 307]","[2, 0, 1, 2, 1, 1, 2, 0, 0, 1, 0, 1, 2, 1, 2, 1, 3, 0, 1, 0, 0, 2, 2, 1, 3, 0, 1, 2, 2, 2, 1, 2, 0, 0, 0, 3, 2, 0, 0, 3, 1, 0, 3, 3, 0, 2, 1, 3, 2, 1, 2, 2, 3, 0, 3, 1, 3, 3, 2, 1]"
"[514, 531, 334, 389, 283]","[1, 2, 2, 2, 1, 1, 2, 1, 3, 3, 2, 2, 0, 0, 3, 3, 0, 0, 2, 0, 2, 1, 1, 0, 3, 1, 3, 1, 3, 1, 3, 1, 0, 3, 1, 1, 0, 2, 2, 1, 3, 3, 3, 3, 3, 2, 2, 1, 0, 3, 0, 3, 2, 2, 2, 2, 1, 3, 1, 2]"
"[259, 230, 270, 421, 398]","[3, 0, 1, 3, 3, 2, 2, 0, 2, 3, 3, 2, 0, 3, 0, 3, 2, 1, 1, 3, 2, 1, 0, 1, 1, 2, 1, 0, 2, 1, 0, 1, 0, 3, 3, 0, 2, 3, 3, 3, 3, 1, 2, 3, 2, 3, 3, 2, 2, 2, 0, 0, 0, 1, 0, 1, 3, 1, 3, 3]"
"[427, 100, 267, 163, 461]","[3, 0, 0, 3, 1, 0, 3, 1, 1, 2, 3, 2, 0, 0, 3, 1, 0, 1, 2, 2, 3, 1, 1, 3, 0, 2, 2, 3, 3, 3, 1, 3, 0, 0, 3, 2, 2, 2, 2, 3, 1, 1, 1, 1, 1, 3, 2, 0, 2, 1, 0, 0, 3, 0, 3, 1, 3, 2, 1, 1]"
"[526, 479, 542, 535, 569]","[1, 1, 3, 3, 2, 3, 3, 1, 0, 0, 2, 3, 3, 1, 1, 1, 1, 2, 3, 3, 2, 1, 3, 1, 0, 3, 0, 0, 3, 0, 0, 3, 2, 0, 1, 2, 1, 3, 1, 2, 2, 0, 3, 0, 0, 2, 2, 2, 3, 3, 0, 0, 1, 0, 2, 1, 2, 1, 3, 2]"
[312],"[0, 2, 0, 2, 1, 3, 2, 2, 2, 2, 0, 0, 3, 1, 3, 2, 1, 2, 3, 1, 1, 1, 3, 2, 2, 1, 2, 1, 3, 3, 0, 2, 2, 2, 0, 1, 2, 1, 3, 1, 0, 0, 2, 1, 2, 2, 1, 2, 1, 0, 0, 2, 3, 0, 2, 1, 1, 3, 1, 3]"
"[2, 139, 160]","[3, 1, 0, 3, 0, 1, 2, 2, 3, 2, 1, 0, 1, 1, 0, 2, 2, 1, 2, 1, 0, 3, 0, 1, 0, 2, 3, 1, 1, 2, 2, 0, 2, 0, 0, 1, 2, 1, 1, 2, 2, 0, 0, 2, 0, 2, 2, 3, 3, 1, 3, 1, 0, 1, 1, 0, 1, 1, 0, 1]"
[355],"[1, 0, 2, 3, 0, 2, 1, 0, 3, 1, 2, 1, 2, 1, 0, 0, 1, 2, 2, 3, 2, 3, 3, 2, 1, 3, 2, 1, 1, 0, 1, 2, 3, 1, 3, 1, 2, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 2, 0, 3, 3, 1, 2, 2, 0, 1, 3, 3, 1, 2]"
"[58, 471, 240]","[1, 3, 1, 3, 1, 0, 0, 1, 3, 2, 3, 2, 2, 2, 1, 3, 0, 3, 1, 2, 1, 2, 0, 0, 3, 0, 0, 1, 2, 0, 3, 1, 2, 1, 2, 3, 1, 0, 0, 1, 2, 3, 3, 3, 3, 0, 2, 2, 2, 2, 3, 2, 2, 2, 0, 1, 3, 0, 1, 2]"
"[367, 354, 370, 6]","[3, 0, 1, 3, 2, 2, 2, 0, 2, 3, 0, 0, 0, 3, 3, 3, 2, 1, 1, 3, 3, 1, 0, 2, 1, 2, 1, 0, 2, 1, 2, 1, 0, 3, 3, 0, 2, 3, 3, 3, 3, 1, 2, 3, 1, 3, 2, 3, 2, 2, 0, 0, 0, 1, 1, 2, 3, 1, 1, 3]"
"[408, 373, 586, 100]","[2, 3, 2, 2, 1, 2, 1, 0, 1, 3, 3, 1, 3, 0, 2, 0, 1, 1, 3, 1, 0, 0, 2, 1, 0, 2, 1, 3, 2, 1, 0, 0, 3, 3, 2, 2, 1, 1, 3, 1, 1, 3, 2, 3, 3, 2, 1, 1, 1, 1, 3, 0, 1, 1, 0, 1, 1, 1, 0, 2]"
"[161, 531, 278]","[0, 0, 2, 2, 1, 1, 3, 3, 2, 1, 1, 2, 1, 1, 1, 1, 0, 0, 0, 1, 1, 3, 0, 3, 3, 0, 0, 2, 1, 2, 3, 3, 2, 2, 2, 1, 1, 0, 0, 3, 1, 3, 2, 0, 2, 2, 0, 2, 3, 3, 2, 2, 3, 2, 2, 3, 1, 3, 0, 2]"
"[210, 257, 362, 131, 327]","[1, 0, 2, 3, 2, 1, 0, 3, 3, 0, 3, 2, 0, 2, 0, 2, 1, 0, 2, 3, 3, 0, 1, 1, 3, 0, 1, 2, 0, 0, 0, 0, 1, 2, 3, 1, 2, 1, 2, 0, 3, 3, 0, 2, 2, 0, 2, 3, 2, 2, 3, 0, 0, 0, 1, 1, 1, 3, 0, 1]"
"[514, 385, 416]","[2, 2, 1, 1, 0, 1, 0, 3, 3, 1, 3, 1, 0, 0, 1, 3, 1, 1, 0, 3, 3, 1, 0, 0, 3, 2, 0, 1, 2, 2, 3, 3, 0, 3, 0, 3, 2, 0, 0, 2, 1, 0, 0, 3, 3, 2, 0, 1, 2, 1, 1, 3, 3, 1, 1, 0, 0, 2, 3, 1]"
"[503, 336]","[2, 3, 1, 3, 2, 3, 0, 1, 1, 0, 0, 1, 3, 2, 2, 0, 1, 0, 2, 3, 1, 0, 1, 3, 1, 3, 0, 0, 0, 1, 0, 1, 2, 1, 1, 0, 2, 0, 1, 2, 3, 2, 2, 0, 2, 0, 2, 3, 2, 3, 2, 1, 1, 0, 3, 2, 0, 0, 3, 1]"
"[329, 291, 525, 69, 443]","[0, 1, 3, 1, 0, 3, 3, 2, 3, 1, 0, 0, 1, 0, 2, 0, 2, 0, 1, 2, 3, 0, 1, 0, 3, 2, 0, 3, 2, 1, 1, 2, 3, 0, 3, 0, 1, 1, 3, 3, 2, 0, 1, 0, 0, 3, 1, 1, 2, 3, 0, 2, 2, 3, 2, 3, 3, 3, 0, 2]"
