fav_partners,project_prefs
"[10, 29, 49]","[2, 1, 3, 0, 2, 3]"
"[58, 53]","[1, 0, 2, 3, 1, 3]"
"[16, 42]","[3, 0, 2, 3, 2, 2]"
"[59, 35]","[3, 2, 3, 2, 0, 1]"
[3],"[2, 2, 3, 2, 0, 3]"
"[32, 22, 10, 42]","[2, 0, 0, 1, 2, 0]"
[3],"[3, 2, 3, 2, 1, 1]"
"[3, 58, 41, 15, 56]","[3, 2, 3, 2, 0, 2]"
"[50, 17, 51, 0]","[2, 1, 3, 1, 2, 3]"
"[17, 52, 6, 36]","[3, 3, 3, 2, 1, 1]"
"[5, 56]","[2, 0, 0, 1, 2, 0]"
"[55, 35]","[2, 0, 2, 0, 3, 3]"
"[57, 52, 40, 51, 14]","[1, 0, 2, 1, 1, 0]"
"[33, 20, 34, 16, 10]","[2, 0, 0, 0, 2, 0]"
"[12, 20]","[1, 0, 2, 3, 1, 2]"
"[7, 35, 10, 8]","[1, 2, 0, 2, 2, 3]"
"[53, 3, 27]","[3, 0, 2, 2, 0, 1]"
"[47, 21, 15, 49, 1]","[1, 0, 2, 2, 1, 3]"
[2],"[3, 0, 2, 3, 2, 2]"
[14],"[1, 2, 0, 3, 3, 2]"
"[13, 14, 51]","[0, 0, 2, 2, 2, 2]"
[17],"[1, 0, 2, 2, 2, 3]"
"[35, 7, 24]","[3, 2, 3, 2, 0, 2]"
"[59, 51, 17]","[1, 0, 2, 2, 1, 0]"
"[22, 18, 53]","[3, 0, 3, 2, 2, 0]"
"[17, 56, 58]","[1, 1, 1, 2, 1, 0]"
[8],"[2, 1, 3, 2, 2, 3]"
"[16, 4, 29, 23]","[3, 2, 2, 2, 0, 3]"
"[43, 4, 10, 11, 41]","[2, 2, 3, 2, 0, 3]"
"[0, 50, 51, 25, 4]","[2, 1, 1, 1, 0, 3]"
"[13, 29, 38]","[2, 1, 3, 1, 0, 0]"
"[12, 29, 33, 6, 59]","[3, 2, 3, 2, 1, 3]"
"[5, 57, 40, 21]","[2, 0, 2, 2, 2, 3]"
"[31, 6, 20]","[2, 2, 3, 2, 1, 1]"
"[13, 8, 56, 58]","[2, 0, 3, 1, 2, 0]"
"[11, 15, 14]","[1, 0, 1, 3, 2, 1]"
[11],"[1, 1, 2, 1, 3, 1]"
"[3, 21]","[1, 1, 3, 2, 0, 3]"
"[6, 51, 39, 35]","[1, 0, 3, 1, 1, 1]"
"[38, 10, 22, 29, 26]","[1, 3, 3, 2, 2, 0]"
"[12, 10, 29]","[2, 3, 2, 1, 2, 3]"
"[28, 22]","[3, 2, 3, 2, 0, 3]"
"[45, 22, 20]","[2, 0, 1, 0, 2, 2]"
"[18, 23]","[3, 3, 3, 2, 2, 2]"
"[3, 6, 45, 28, 56]","[2, 2, 3, 2, 1, 1]"
"[42, 44, 4, 13, 41]","[2, 1, 2, 2, 2, 3]"
"[12, 22, 23, 0, 19]","[3, 0, 3, 0, 2, 3]"
"[17, 3, 23]","[3, 0, 2, 2, 3, 0]"
"[26, 5]","[3, 0, 0, 3, 2, 0]"
"[0, 17, 43, 22]","[3, 0, 3, 2, 2, 3]"
[29],"[0, 1, 3, 1, 0, 3]"
"[23, 8, 12, 20]","[2, 0, 3, 2, 2, 3]"
"[12, 2, 37, 14]","[3, 1, 3, 1, 0, 3]"
"[24, 1]","[3, 0, 2, 3, 1, 2]"
"[0, 32]","[1, 0, 2, 2, 2, 3]"
[24],"[3, 0, 3, 2, 1, 0]"
"[34, 25, 44]","[1, 2, 3, 2, 2, 1]"
"[12, 32]","[2, 0, 2, 1, 3, 3]"
"[7, 1, 25, 34]","[3, 2, 1, 0, 0, 3]"
"[23, 51]","[3, 0, 2, 0, 2, 3]"
