fav_partners,project_prefs
"[4, 52, 59]","[1, 2, 2, 2, 0, 3]"
"[59, 0, 6, 47, 54]","[3, 2, 2, 2, 0, 0]"
"[46, 53, 51, 43]","[2, 0, 0, 2, 1, 1]"
[40],"[2, 2, 3, 1, 2, 0]"
"[0, 22, 47, 57]","[1, 2, 2, 2, 0, 3]"
[13],"[2, 2, 0, 3, 0, 3]"
"[1, 11, 53, 36, 30]","[3, 1, 3, 0, 0, 0]"
[5],"[2, 2, 1, 3, 2, 3]"
"[57, 33, 32]","[1, 2, 0, 0, 0, 3]"
[20],"[1, 0, 3, 3, 2, 1]"
"[19, 46, 7, 36, 22]","[2, 1, 1, 3, 2, 3]"
"[39, 36, 38, 19, 29]","[3, 3, 2, 3, 3, 1]"
[39],"[1, 0, 2, 2, 2, 0]"
"[5, 20, 12, 14]","[1, 2, 2, 3, 2, 0]"
"[13, 44]","[1, 2, 2, 3, 3, 0]"
"[31, 4, 5]","[1, 0, 1, 2, 0, 3]"
"[57, 9]","[1, 0, 3, 3, 2, 2]"
[54],"[3, 3, 3, 0, 1, 1]"
[58],"[1, 2, 2, 0, 0, 3]"
"[11, 10, 15, 46, 40]","[3, 0, 2, 3, 3, 3]"
"[13, 9, 47, 53]","[0, 0, 3, 3, 2, 0]"
"[5, 20, 40]","[2, 2, 0, 3, 0, 0]"
[10],"[2, 1, 1, 3, 2, 3]"
"[55, 12, 15]","[1, 0, 1, 2, 3, 0]"
[47],"[1, 3, 3, 0, 0, 3]"
"[7, 46, 14]","[2, 2, 3, 3, 2, 0]"
"[51, 10, 21]","[2, 2, 0, 3, 2, 0]"
"[53, 3, 6, 51]","[0, 2, 3, 0, 2, 0]"
"[55, 45]","[1, 0, 1, 2, 2, 3]"
"[41, 59]","[2, 2, 2, 1, 0, 0]"
"[6, 42, 13, 40, 55]","[3, 2, 3, 3, 2, 0]"
"[15, 24, 55, 7, 2]","[2, 1, 0, 1, 2, 3]"
"[8, 12, 47, 7, 31]","[1, 2, 0, 3, 2, 0]"
"[1, 35]","[2, 2, 2, 1, 3, 0]"
"[40, 6, 54, 16]","[1, 0, 3, 0, 2, 2]"
[33],"[2, 2, 3, 1, 3, 0]"
"[10, 11, 6]","[2, 3, 1, 3, 3, 1]"
"[12, 16, 22, 58]","[2, 2, 3, 1, 2, 3]"
"[11, 14, 51, 3]","[3, 2, 2, 2, 3, 1]"
"[11, 12]","[3, 3, 2, 3, 2, 0]"
"[21, 25, 55, 44]","[2, 0, 1, 3, 0, 0]"
"[29, 0, 30]","[3, 3, 3, 1, 2, 1]"
[34],"[1, 0, 3, 0, 3, 2]"
"[2, 31, 23]","[2, 1, 0, 2, 1, 3]"
"[40, 56, 39, 8, 47]","[3, 0, 2, 0, 0, 0]"
"[54, 41, 5]","[3, 2, 3, 1, 0, 3]"
[10],"[2, 1, 1, 3, 2, 3]"
"[4, 44]","[1, 2, 2, 2, 0, 2]"
"[56, 26, 2, 25, 44]","[3, 2, 3, 0, 2, 1]"
"[26, 50, 42, 45, 2]","[1, 2, 3, 3, 3, 3]"
"[49, 44]","[3, 0, 2, 0, 3, 3]"
"[38, 48]","[3, 2, 3, 2, 3, 1]"
[0],"[1, 2, 2, 2, 0, 0]"
"[27, 6, 5]","[3, 0, 3, 2, 0, 3]"
"[17, 0]","[1, 3, 3, 0, 1, 3]"
"[40, 39]","[2, 1, 0, 3, 3, 0]"
[44],"[3, 3, 2, 0, 0, 0]"
"[8, 16]","[1, 0, 3, 3, 0, 3]"
"[37, 52, 51, 7]","[3, 2, 1, 1, 2, 1]"
"[1, 29, 3]","[2, 2, 2, 2, 2, 0]"
