fav_partners,project_prefs
"[9, 43]","[1, 3, 2, 0, 3, 0]"
"[18, 57, 9]","[1, 0, 1, 1, 0, 3]"
"[11, 23]","[2, 2, 1, 3, 2, 0]"
"[44, 33, 15]","[1, 0, 1, 3, 1, 0]"
"[38, 2]","[2, 2, 1, 3, 2, 0]"
"[43, 13, 35, 32, 54]","[1, 3, 0, 3, 3, 1]"
"[12, 26, 31]","[0, 2, 1, 0, 0, 0]"
"[14, 53, 29, 35]","[3, 2, 1, 1, 2, 3]"
"[45, 20, 15, 7]","[3, 3, 2, 1, 2, 3]"
"[1, 22, 6, 7, 51]","[3, 0, 1, 1, 2, 3]"
"[42, 54]","[3, 2, 0, 1, 2, 1]"
"[2, 4]","[2, 2, 1, 3, 2, 0]"
"[6, 32, 9, 1]","[1, 0, 1, 2, 2, 3]"
"[5, 2]","[2, 0, 0, 3, 3, 1]"
"[20, 51, 22]","[2, 2, 1, 2, 2, 0]"
"[8, 3, 59, 5, 47]","[1, 2, 0, 3, 3, 3]"
"[59, 40, 41, 21]","[1, 2, 1, 2, 0, 0]"
"[23, 51, 28, 6, 48]","[0, 2, 1, 0, 0, 0]"
[1],"[1, 0, 1, 1, 2, 1]"
"[24, 52, 57, 15, 1]","[3, 0, 0, 2, 3, 3]"
[8],"[3, 3, 1, 1, 2, 3]"
"[16, 22, 32, 3]","[3, 0, 1, 1, 1, 0]"
"[14, 3]","[1, 3, 0, 2, 2, 3]"
[20],"[3, 3, 2, 1, 2, 3]"
"[57, 59, 19, 38, 50]","[3, 0, 0, 1, 3, 3]"
"[57, 52, 39]","[2, 1, 2, 1, 1, 3]"
"[13, 53]","[2, 0, 2, 0, 3, 1]"
"[8, 40]","[3, 3, 0, 1, 2, 3]"
"[53, 46, 9, 5]","[3, 3, 1, 1, 3, 1]"
"[44, 21, 18]","[1, 0, 2, 1, 1, 1]"
"[21, 57, 52, 42]","[3, 0, 1, 1, 1, 0]"
"[57, 52]","[3, 3, 0, 1, 2, 1]"
"[12, 21, 20, 40]","[3, 3, 1, 1, 3, 3]"
[28],"[3, 3, 1, 1, 3, 3]"
"[9, 42, 32, 55, 24]","[3, 0, 0, 1, 2, 3]"
[58],"[2, 3, 3, 2, 1, 3]"
"[41, 26, 35, 20]","[3, 1, 0, 0, 3, 1]"
"[14, 2, 53, 58, 1]","[3, 0, 0, 3, 2, 3]"
"[24, 4, 54]","[2, 2, 0, 0, 1, 3]"
"[56, 32, 49, 11, 9]","[2, 0, 1, 1, 3, 3]"
[32],"[3, 3, 1, 1, 3, 3]"
[16],"[0, 2, 1, 2, 0, 1]"
[10],"[3, 2, 1, 1, 2, 2]"
"[0, 5]","[3, 3, 2, 0, 3, 1]"
"[3, 29, 53, 25]","[2, 0, 1, 3, 1, 3]"
[8],"[2, 3, 2, 3, 2, 3]"
[28],"[3, 1, 1, 1, 3, 1]"
[15],"[1, 2, 0, 3, 3, 3]"
"[17, 43, 28]","[0, 3, 2, 0, 0, 0]"
"[39, 26]","[2, 0, 1, 1, 3, 3]"
"[24, 34]","[3, 0, 0, 3, 2, 2]"
"[14, 31, 9, 13]","[2, 3, 0, 3, 3, 1]"
"[31, 25, 49]","[2, 0, 0, 1, 3, 3]"
"[7, 28, 58, 1]","[3, 3, 1, 0, 2, 0]"
"[38, 5, 10, 43]","[1, 0, 0, 3, 1, 1]"
"[12, 32, 18, 27, 51]","[3, 1, 1, 1, 2, 2]"
"[39, 48, 36, 59]","[1, 0, 2, 0, 2, 3]"
"[19, 1, 24, 38]","[2, 2, 0, 1, 1, 3]"
"[37, 53, 35, 3]","[1, 3, 0, 0, 2, 3]"
"[15, 7]","[0, 0, 1, 3, 3, 3]"
