fav_partners,project_prefs
"[6, 22]","[0, 3, 2, 2, 2, 3]"
"[54, 53]","[3, 1, 0, 3, 2, 1]"
"[16, 1]","[0, 1, 0, 3, 2, 1]"
"[48, 51]","[3, 3, 0, 0, 3, 2]"
"[11, 46, 6, 28, 56]","[0, 0, 0, 2, 2, 0]"
"[7, 40, 41, 30, 46]","[3, 0, 1, 2, 0, 0]"
"[0, 26]","[0, 3, 2, 2, 2, 3]"
[5],"[3, 0, 1, 2, 3, 0]"
"[19, 43, 10]","[3, 0, 1, 0, 3, 1]"
"[16, 33, 23, 11]","[1, 0, 0, 2, 0, 0]"
"[8, 33, 27, 0]","[0, 3, 1, 3, 2, 3]"
"[37, 36, 17]","[1, 2, 1, 3, 0, 1]"
[30],"[3, 2, 0, 3, 3, 1]"
"[47, 7, 26, 23]","[3, 0, 1, 2, 2, 0]"
"[3, 1, 18, 48]","[1, 1, 3, 0, 2, 2]"
[17],"[3, 3, 3, 0, 3, 3]"
"[2, 26, 55, 18, 14]","[1, 1, 2, 0, 2, 2]"
[15],"[3, 3, 3, 0, 3, 3]"
"[22, 55, 48, 53, 0]","[0, 3, 2, 2, 2, 3]"
"[8, 24, 25, 20, 42]","[1, 0, 1, 2, 2, 2]"
"[19, 27, 40]","[1, 3, 2, 2, 2, 2]"
"[10, 0, 51, 9]","[0, 3, 3, 2, 0, 0]"
"[0, 48, 32, 44, 54]","[0, 3, 0, 2, 2, 0]"
"[9, 13, 56]","[1, 0, 1, 2, 0, 0]"
"[19, 42]","[1, 0, 1, 1, 2, 2]"
"[41, 51]","[3, 1, 3, 3, 2, 0]"
"[16, 13, 6, 56, 49]","[0, 3, 2, 3, 2, 3]"
"[10, 52, 29]","[0, 3, 1, 3, 1, 3]"
"[9, 51]","[1, 0, 0, 2, 0, 0]"
"[27, 2, 37, 26, 42]","[0, 3, 0, 0, 2, 2]"
"[5, 11, 45, 13, 42]","[0, 2, 2, 3, 2, 1]"
"[41, 45, 32]","[3, 1, 2, 3, 1, 1]"
[22],"[0, 2, 0, 0, 2, 0]"
"[4, 37]","[0, 0, 0, 0, 2, 0]"
"[15, 48, 46, 28]","[3, 3, 0, 3, 0, 1]"
"[58, 52, 46, 6, 12]","[0, 3, 2, 2, 2, 0]"
"[27, 41]","[0, 1, 1, 3, 1, 3]"
"[11, 5, 20, 1]","[1, 0, 2, 3, 2, 0]"
"[0, 49, 16, 12]","[0, 3, 2, 3, 3, 3]"
"[24, 27, 50, 41]","[1, 3, 1, 1, 1, 3]"
"[5, 20, 38, 48]","[3, 0, 1, 3, 3, 0]"
"[31, 5, 25]","[3, 1, 1, 2, 2, 3]"
"[29, 24, 19, 30, 58]","[1, 3, 2, 0, 2, 2]"
[8],"[0, 1, 1, 0, 3, 1]"
"[22, 9]","[1, 2, 1, 1, 0, 3]"
"[31, 10, 8, 59, 30]","[0, 0, 3, 3, 3, 0]"
[44],"[1, 2, 1, 3, 2, 2]"
"[13, 38, 54, 5]","[3, 0, 3, 2, 3, 3]"
[34],"[3, 3, 1, 0, 0, 3]"
"[26, 52, 16]","[0, 1, 2, 0, 2, 0]"
"[9, 48, 58, 28, 35]","[0, 3, 0, 0, 0, 3]"
"[3, 25]","[3, 1, 0, 1, 2, 0]"
[4],"[0, 0, 3, 2, 0, 0]"
"[1, 46]","[1, 0, 1, 3, 2, 1]"
"[1, 22, 35]","[0, 3, 2, 3, 2, 0]"
"[16, 18, 38]","[0, 0, 2, 0, 3, 1]"
"[4, 21, 1, 12]","[0, 1, 0, 2, 2, 0]"
"[1, 21]","[1, 1, 2, 2, 0, 0]"
"[35, 50, 3, 39, 51]","[2, 1, 2, 1, 3, 3]"
"[4, 26]","[0, 0, 1, 2, 2, 3]"
