fav_partners,project_prefs
"[6, 54]","[1, 1, 0, 2, 0, 1]"
"[4, 43]","[2, 2, 3, 2, 3, 1]"
"[19, 13, 49, 42, 24]","[3, 3, 2, 0, 2, 1]"
"[37, 6]","[2, 1, 2, 3, 0, 2]"
"[1, 42]","[2, 2, 3, 1, 3, 1]"
"[1, 4, 30]","[2, 2, 3, 1, 3, 1]"
"[3, 0, 12]","[1, 1, 3, 2, 0, 2]"
[11],"[2, 0, 3, 1, 3, 1]"
"[44, 59, 3, 5, 24]","[2, 1, 2, 3, 2, 2]"
[43],"[1, 2, 1, 2, 0, 2]"
"[56, 15]","[3, 1, 0, 1, 3, 1]"
"[7, 52, 25, 49]","[1, 3, 3, 3, 3, 1]"
"[50, 45, 32, 40, 33]","[1, 0, 3, 3, 2, 2]"
[2],"[2, 2, 2, 0, 1, 1]"
"[15, 6]","[0, 3, 3, 0, 0, 2]"
"[10, 14]","[3, 1, 3, 2, 3, 1]"
"[28, 30, 42, 29, 26]","[0, 3, 2, 2, 2, 0]"
[48],"[0, 0, 2, 3, 3, 2]"
"[49, 41, 34, 57, 21]","[1, 0, 3, 3, 0, 2]"
"[2, 21, 37, 20, 45]","[2, 1, 2, 0, 2, 1]"
"[19, 38, 15, 27]","[3, 1, 2, 2, 3, 0]"
"[18, 16, 46]","[2, 3, 3, 3, 1, 0]"
"[17, 29, 6, 59, 38]","[1, 0, 2, 2, 0, 0]"
"[20, 45, 4]","[2, 2, 1, 2, 3, 1]"
"[46, 21, 54, 38]","[2, 3, 3, 3, 0, 0]"
[11],"[1, 3, 0, 3, 3, 1]"
[16],"[0, 3, 3, 2, 1, 0]"
"[20, 1, 33, 49]","[3, 2, 3, 2, 3, 1]"
"[33, 19]","[1, 1, 2, 0, 0, 0]"
"[16, 20, 22]","[0, 0, 3, 2, 2, 0]"
[16],"[0, 3, 2, 2, 0, 0]"
[9],"[0, 2, 1, 2, 0, 2]"
"[12, 23, 18, 41]","[2, 0, 3, 0, 0, 2]"
"[28, 12]","[0, 0, 2, 1, 2, 0]"
"[18, 45, 11]","[1, 0, 3, 3, 0, 2]"
"[3, 50, 16, 23, 56]","[0, 1, 2, 1, 2, 2]"
"[23, 3, 24]","[2, 3, 1, 2, 3, 3]"
"[19, 33, 20]","[0, 0, 2, 2, 3, 1]"
"[24, 20, 30]","[3, 1, 2, 3, 0, 0]"
"[11, 22, 58, 40, 18]","[2, 0, 3, 3, 3, 0]"
"[39, 12, 15]","[3, 0, 3, 1, 2, 2]"
[18],"[1, 0, 3, 3, 0, 2]"
"[16, 2, 14, 47]","[0, 3, 2, 3, 2, 2]"
"[9, 36]","[2, 2, 1, 2, 3, 0]"
[8],"[1, 3, 1, 3, 2, 2]"
[12],"[1, 0, 2, 3, 2, 2]"
"[24, 21, 16, 22, 14]","[0, 1, 3, 3, 0, 0]"
[42],"[3, 3, 2, 3, 2, 2]"
[17],"[0, 2, 2, 3, 3, 1]"
"[11, 27, 47, 16, 38]","[0, 3, 2, 3, 3, 2]"
"[35, 12, 2, 24]","[3, 0, 3, 0, 2, 0]"
"[55, 47, 21]","[1, 3, 2, 2, 1, 0]"
"[11, 3, 56]","[3, 1, 2, 3, 1, 2]"
[8],"[2, 1, 2, 3, 2, 2]"
"[24, 10, 38, 9, 5]","[3, 1, 0, 1, 3, 0]"
"[51, 26]","[0, 0, 3, 3, 1, 0]"
"[10, 35, 52, 39]","[3, 3, 3, 2, 1, 0]"
[23],"[2, 2, 0, 2, 3, 1]"
"[43, 23, 4]","[2, 2, 1, 0, 3, 3]"
"[22, 52, 9, 13]","[3, 0, 0, 0, 0, 0]"
