fav_partners,project_prefs
"[49, 43, 5, 52]","[2, 0, 3, 2, 3, 3]"
[44],"[0, 0, 1, 3, 3, 2]"
"[5, 22, 51]","[0, 0, 1, 2, 1, 3]"
"[28, 8]","[2, 3, 2, 2, 0, 2]"
[14],"[1, 3, 0, 3, 3, 2]"
[13],"[2, 1, 0, 2, 1, 0]"
"[24, 56, 5, 34, 16]","[2, 1, 0, 2, 1, 0]"
"[50, 46, 13]","[2, 2, 2, 3, 3, 0]"
"[3, 55, 6, 15, 59]","[2, 3, 0, 2, 3, 3]"
"[45, 51, 55, 31, 16]","[1, 0, 1, 1, 2, 2]"
[38],"[1, 0, 3, 1, 3, 3]"
"[53, 49, 0]","[0, 0, 3, 2, 3, 1]"
"[55, 20, 43, 11, 58]","[0, 3, 2, 1, 3, 1]"
"[41, 34]","[2, 0, 3, 1, 2, 0]"
"[4, 9, 40]","[1, 0, 1, 3, 3, 2]"
"[8, 14, 33]","[1, 0, 1, 2, 2, 2]"
"[9, 0, 57]","[1, 0, 1, 1, 2, 3]"
"[16, 2, 4, 39]","[1, 0, 0, 0, 3, 2]"
[51],"[3, 3, 2, 0, 0, 1]"
"[53, 36, 59]","[2, 0, 1, 1, 1, 3]"
"[37, 57, 41, 32]","[0, 3, 1, 2, 2, 3]"
[12],"[0, 3, 2, 1, 2, 1]"
[2],"[0, 0, 1, 2, 0, 3]"
"[22, 34, 39]","[0, 0, 1, 2, 0, 3]"
"[6, 8, 48]","[2, 3, 0, 1, 0, 0]"
"[5, 17, 59]","[2, 0, 0, 2, 1, 2]"
"[25, 6, 56]","[2, 1, 0, 0, 1, 1]"
"[38, 9, 54]","[1, 0, 1, 3, 2, 2]"
"[16, 22, 58, 10]","[3, 1, 3, 2, 3, 3]"
"[3, 7, 12, 31, 5]","[0, 3, 0, 3, 0, 3]"
"[56, 14, 16]","[0, 0, 3, 3, 3, 3]"
"[9, 29, 38, 32]","[1, 1, 2, 2, 2, 3]"
"[31, 20]","[1, 3, 3, 2, 2, 3]"
"[15, 4, 47]","[1, 3, 0, 2, 1, 2]"
"[13, 23, 6]","[3, 1, 0, 2, 0, 3]"
"[9, 10, 16]","[1, 1, 0, 1, 2, 3]"
"[29, 50]","[0, 3, 2, 3, 0, 3]"
[53],"[2, 0, 3, 2, 3, 3]"
"[10, 27, 31, 36, 6]","[1, 3, 3, 1, 3, 1]"
"[23, 17, 57, 54]","[0, 2, 2, 1, 0, 2]"
"[14, 56, 8]","[1, 3, 1, 3, 3, 2]"
"[20, 13, 11, 48]","[2, 3, 3, 0, 3, 0]"
[40],"[1, 3, 1, 2, 3, 3]"
"[0, 12, 16]","[0, 2, 0, 1, 2, 3]"
"[1, 59]","[0, 0, 1, 3, 3, 0]"
"[33, 17]","[3, 3, 0, 2, 3, 2]"
"[31, 17, 27]","[1, 3, 2, 2, 2, 2]"
[33],"[1, 3, 3, 2, 1, 2]"
"[41, 24, 45, 31, 28]","[1, 3, 0, 3, 0, 2]"
"[0, 15, 13, 14, 18]","[3, 3, 3, 0, 3, 0]"
"[7, 36, 1]","[2, 2, 1, 3, 3, 3]"
"[2, 18, 9]","[1, 0, 1, 0, 2, 1]"
"[0, 25, 43]","[2, 2, 3, 1, 3, 2]"
"[37, 15, 58, 22]","[2, 2, 3, 2, 2, 3]"
"[39, 20, 56]","[0, 2, 1, 0, 0, 2]"
"[8, 12, 14, 1, 46]","[0, 3, 2, 3, 2, 1]"
"[26, 15, 33, 21, 23]","[2, 0, 0, 2, 2, 3]"
"[20, 39, 58]","[0, 3, 0, 3, 2, 3]"
"[53, 12, 57, 0, 28]","[1, 0, 1, 1, 3, 1]"
"[25, 19, 44, 8, 7]","[2, 0, 2, 3, 0, 0]"
