fav_partners,project_prefs
"[31, 11]","[1, 0, 2, 2, 3, 0]"
[43],"[2, 1, 1, 1, 0, 2]"
[31],"[1, 0, 0, 3, 3, 0]"
"[47, 52, 20]","[0, 1, 3, 1, 2, 0]"
"[26, 2, 38]","[1, 2, 0, 3, 3, 0]"
"[22, 49, 30]","[0, 3, 3, 3, 1, 0]"
[3],"[0, 1, 1, 1, 2, 0]"
"[15, 30, 41]","[3, 2, 2, 2, 3, 2]"
"[36, 14, 25]","[1, 1, 3, 1, 2, 1]"
[28],"[3, 1, 0, 3, 2, 1]"
[2],"[1, 0, 0, 3, 3, 0]"
[0],"[1, 0, 2, 2, 0, 0]"
"[3, 0, 2]","[1, 1, 1, 1, 3, 0]"
"[2, 9, 56, 39, 10]","[1, 0, 3, 2, 2, 0]"
"[8, 1, 49, 37]","[2, 1, 1, 3, 0, 2]"
"[7, 4]","[2, 2, 2, 0, 3, 2]"
"[50, 43, 7, 12, 53]","[3, 1, 2, 1, 2, 0]"
[32],"[1, 2, 1, 0, 2, 3]"
"[5, 7, 31, 46]","[3, 2, 2, 2, 1, 2]"
"[33, 47, 57, 10]","[1, 0, 3, 0, 3, 0]"
"[3, 25, 48, 56, 29]","[0, 1, 3, 2, 2, 1]"
"[8, 5, 41, 33, 2]","[1, 0, 0, 1, 1, 2]"
"[5, 52, 26, 59, 25]","[2, 3, 3, 3, 3, 2]"
"[59, 20, 36, 45, 37]","[0, 1, 3, 2, 2, 1]"
"[26, 59, 19, 15, 37]","[1, 1, 2, 0, 3, 0]"
[8],"[1, 1, 3, 0, 0, 1]"
"[24, 22, 4]","[0, 1, 3, 3, 3, 0]"
"[48, 44, 45]","[1, 3, 2, 0, 1, 3]"
"[9, 55]","[0, 1, 1, 3, 2, 1]"
"[20, 17, 16, 54]","[3, 2, 3, 2, 2, 0]"
"[7, 49]","[3, 2, 2, 2, 3, 2]"
"[0, 18, 2]","[2, 2, 0, 2, 3, 3]"
[17],"[1, 2, 1, 0, 2, 3]"
"[36, 22, 2, 41]","[1, 0, 3, 1, 2, 0]"
"[14, 25, 2]","[1, 0, 3, 1, 0, 2]"
"[34, 17, 50, 52]","[1, 0, 3, 1, 3, 2]"
"[8, 5]","[2, 1, 3, 1, 1, 0]"
"[23, 14, 55]","[0, 1, 0, 2, 2, 2]"
"[4, 54]","[1, 2, 0, 3, 3, 0]"
"[13, 12, 57, 37, 41]","[3, 1, 3, 2, 3, 0]"
"[4, 26, 18, 53, 45]","[0, 2, 0, 2, 1, 2]"
[33],"[1, 0, 2, 2, 2, 3]"
"[10, 21, 11, 57, 25]","[1, 1, 1, 3, 0, 0]"
"[1, 59]","[2, 1, 1, 1, 0, 2]"
"[42, 28]","[1, 1, 1, 3, 0, 0]"
"[40, 23, 24, 11, 31]","[2, 2, 0, 1, 3, 3]"
"[0, 42]","[3, 1, 1, 2, 2, 1]"
"[3, 44]","[1, 1, 3, 3, 0, 0]"
"[41, 47, 13, 16]","[3, 0, 3, 3, 0, 0]"
[59],"[1, 2, 1, 2, 0, 2]"
"[6, 9, 16, 11, 25]","[0, 1, 3, 1, 0, 1]"
"[33, 58, 41]","[1, 0, 0, 0, 2, 0]"
"[22, 35, 3, 17]","[0, 0, 3, 3, 2, 2]"
"[40, 16, 33]","[0, 0, 1, 1, 2, 0]"
"[46, 2]","[1, 0, 1, 3, 2, 2]"
[37],"[0, 1, 0, 3, 2, 2]"
"[13, 35, 23]","[1, 1, 3, 2, 1, 0]"
"[39, 38, 22, 13, 19]","[1, 3, 0, 1, 1, 0]"
"[51, 10, 50, 38]","[1, 0, 0, 0, 3, 0]"
"[49, 16, 31, 21]","[2, 0, 0, 1, 0, 2]"
