fav_partners,project_prefs
[183],"[3, 1, 3, 3, 3, 0, 2, 2, 2, 2, 0, 3, 3, 0, 2, 3, 1, 3, 0, 3, 0, 3, 2, 3, 1, 0, 2, 1, 2, 3]"
[23],"[1, 0, 0, 1, 3, 2, 1, 1, 0, 3, 1, 2, 2, 1, 0, 0, 1, 0, 3, 1, 1, 1, 3, 3, 2, 3, 1, 1, 3, 2]"
"[274, 141, 261, 213, 192]","[1, 3, 2, 3, 0, 3, 0, 1, 2, 1, 1, 0, 0, 3, 3, 3, 2, 3, 0, 1, 1, 2, 0, 0, 2, 0, 3, 2, 0, 0]"
"[283, 268]","[1, 2, 3, 2, 2, 2, 0, 1, 3, 3, 1, 1, 3, 3, 3, 0, 2, 2, 1, 2, 0, 3, 1, 1, 0, 0, 0, 0, 0, 0]"
[148],"[0, 1, 3, 2, 3, 2, 1, 0, 2, 0, 0, 1, 1, 3, 0, 2, 3, 1, 3, 3, 0, 1, 2, 1, 1, 3, 3, 3, 3, 3]"
"[98, 47]","[1, 0, 3, 1, 0, 1, 3, 2, 1, 2, 3, 2, 2, 2, 0, 1, 2, 0, 2, 0, 1, 0, 2, 1, 1, 0, 2, 0, 3, 0]"
"[157, 196, 195, 59]","[2, 3, 3, 2, 1, 3, 2, 2, 2, 0, 1, 0, 0, 2, 1, 3, 2, 3, 3, 0, 1, 3, 0, 3, 0, 0, 3, 2, 2, 3]"
"[95, 16, 201, 137]","[3, 2, 0, 0, 2, 3, 0, 0, 3, 0, 2, 0, 3, 3, 3, 0, 2, 2, 2, 0, 2, 1, 1, 3, 1, 1, 3, 0, 2, 0]"
"[91, 166, 86, 155]","[0, 2, 1, 0, 1, 2, 1, 0, 0, 3, 2, 0, 3, 2, 1, 2, 3, 2, 1, 1, 0, 0, 0, 1, 1, 2, 1, 3, 0, 2]"
"[6, 193, 269, 170, 56]","[2, 3, 2, 3, 1, 3, 2, 2, 2, 2, 0, 0, 1, 2, 1, 3, 2, 3, 3, 1, 3, 3, 0, 3, 0, 0, 0, 2, 2, 1]"
"[53, 182, 168, 79, 51]","[2, 0, 2, 2, 1, 1, 0, 0, 0, 2, 3, 2, 0, 1, 2, 0, 3, 1, 0, 2, 0, 3, 3, 1, 1, 3, 0, 0, 3, 1]"
"[257, 297, 219, 210]","[2, 0, 2, 1, 0, 3, 3, 1, 0, 1, 3, 1, 1, 0, 1, 3, 2, 0, 2, 3, 0, 0, 0, 2, 2, 0, 2, 1, 1, 3]"
"[19, 230, 95, 209]","[0, 2, 0, 0, 0, 2, 0, 0, 1, 3, 0, 2, 0, 0, 3, 3, 2, 1, 1, 3, 0, 0, 3, 0, 0, 2, 1, 3, 3, 3]"
"[240, 235]","[2, 0, 2, 2, 1, 1, 1, 3, 1, 0, 3, 0, 1, 1, 3, 1, 0, 0, 3, 2, 1, 2, 0, 0, 1, 0, 2, 2, 0, 0]"
"[192, 28]","[3, 2, 0, 3, 3, 1, 3, 2, 0, 0, 1, 2, 1, 2, 1, 1, 0, 1, 0, 1, 0, 2, 0, 3, 3, 2, 1, 3, 2, 0]"
"[211, 35, 31]","[1, 1, 2, 3, 3, 3, 1, 0, 1, 1, 2, 3, 0, 2, 1, 3, 1, 1, 1, 0, 3, 1, 0, 2, 1, 0, 3, 0, 3, 1]"
"[7, 97, 6, 297, 25]","[1, 3, 0, 2, 3, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 0, 1, 3, 3, 0, 1, 3, 0, 3, 0, 1, 2, 0, 0, 3]"
"[20, 291]","[3, 0, 3, 2, 0, 3, 1, 1, 0, 3, 1, 1, 0, 1, 1, 3, 3, 1, 2, 3, 2, 2, 2, 3, 1, 2, 3, 2, 3, 2]"
[295],"[2, 3, 1, 0, 3, 0, 2, 0, 3, 1, 2, 1, 1, 2, 3, 0, 3, 2, 2, 2, 0, 3, 3, 0, 1, 2, 2, 1, 2, 0]"
"[12, 198, 214]","[0, 2, 2, 3, 3, 2, 0, 0, 1, 0, 0, 3, 3, 0, 3, 3, 2, 1, 1, 3, 0, 0, 0, 0, 0, 2, 1, 1, 3, 3]"
[17],"[2, 0, 3, 1, 0, 3, 1, 3, 3, 3, 1, 2, 3, 1, 1, 3, 3, 1, 2, 3, 2, 2, 2, 3, 1, 0, 3, 2, 3, 2]"
"[83, 104, 220, 47, 194]","[0, 1, 0, 1, 3, 2, 3, 2, 0, 3, 2, 2, 0, 2, 1, 3, 1, 2, 0, 0, 3, 3, 2, 0, 1, 2, 3, 0, 2, 2]"
"[2, 146, 132, 185, 285]","[0, 3, 2, 3, 0, 3, 0, 1, 2, 1, 1, 3, 3, 3, 3, 3, 2, 3, 0, 0, 1, 2, 0, 0, 2, 0, 3, 2, 0, 0]"
"[1, 9, 243]","[2, 0, 2, 3, 1, 1, 1, 2, 1, 3, 0, 0, 2, 2, 1, 3, 1, 3, 3, 1, 3, 1, 1, 3, 0, 1, 1, 2, 2, 3]"
"[105, 260, 49, 121, 13]","[1, 0, 2, 3, 1, 1, 2, 1, 1, 0, 3, 0, 1, 3, 1, 1, 0, 0, 3, 2, 1, 0, 3, 0, 1, 0, 2, 2, 2, 0]"
"[51, 288]","[1, 0, 2, 2, 0, 1, 0, 0, 2, 0, 2, 0, 3, 2, 0, 3, 2, 0, 1, 2, 3, 3, 0, 3, 1, 2, 1, 2, 1, 0]"
"[173, 169, 146, 140, 231]","[3, 2, 0, 0, 1, 1, 1, 0, 3, 2, 0, 3, 2, 2, 3, 0, 0, 0, 2, 0, 2, 0, 1, 3, 0, 1, 2, 3, 1, 1]"
"[137, 188, 178, 224]","[0, 0, 3, 2, 3, 2, 2, 2, 0, 0, 0, 2, 2, 0, 0, 2, 1, 1, 0, 2, 2, 0, 0, 2, 1, 3, 2, 2, 2, 0]"
[243],"[3, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 2, 1, 1, 2, 3, 1, 1, 3, 0, 0, 2, 1, 2, 3, 0, 0, 3, 0, 1]"
[264],"[1, 3, 0, 3, 3, 2, 1, 1, 1, 3, 0, 3, 2, 3, 1, 1, 3, 1, 2, 2, 3, 3, 0, 3, 3, 1, 3, 3, 0, 1]"
"[246, 128, 267, 51]","[1, 1, 2, 3, 3, 2, 1, 3, 0, 1, 3, 3, 2, 0, 0, 3, 0, 2, 1, 3, 2, 0, 1, 2, 3, 0, 2, 1, 1, 3]"
"[15, 56]","[1, 1, 2, 1, 1, 3, 3, 0, 1, 1, 2, 3, 0, 2, 1, 3, 0, 1, 1, 0, 3, 1, 0, 2, 3, 0, 1, 0, 1, 1]"
"[126, 133, 220, 57]","[2, 1, 0, 2, 1, 0, 3, 1, 1, 2, 0, 3, 3, 0, 1, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 0, 1, 3, 1, 0]"
"[186, 101, 272, 135, 91]","[1, 2, 2, 0, 0, 2, 2, 3, 0, 1, 1, 1, 3, 1, 2, 0, 3, 0, 1, 1, 3, 0, 3, 1, 1, 0, 0, 3, 2, 3]"
[257],"[3, 0, 2, 2, 3, 0, 1, 3, 1, 0, 0, 1, 0, 3, 2, 3, 0, 1, 2, 3, 2, 0, 3, 1, 3, 0, 1, 0, 1, 0]"
"[286, 213, 40]","[1, 2, 1, 1, 3, 2, 0, 3, 0, 2, 1, 2, 2, 1, 3, 2, 1, 1, 3, 0, 0, 0, 1, 1, 1, 2, 3, 0, 0, 1]"
"[153, 198, 9]","[2, 3, 3, 3, 1, 3, 1, 0, 2, 2, 0, 0, 1, 2, 0, 3, 2, 1, 3, 1, 3, 2, 1, 3, 0, 3, 0, 2, 2, 1]"
"[0, 80, 58, 296]","[3, 1, 3, 3, 3, 0, 0, 2, 2, 2, 0, 3, 3, 0, 2, 2, 1, 3, 0, 3, 0, 3, 2, 3, 1, 3, 2, 1, 2, 3]"
"[277, 48, 47, 254]","[1, 1, 3, 3, 0, 0, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 0, 2, 2, 0, 2, 0, 3, 0]"
"[209, 200]","[3, 3, 3, 3, 1, 1, 0, 1, 3, 0, 3, 1, 2, 1, 3, 0, 3, 0, 0, 3, 0, 0, 0, 0, 2, 2, 3, 0, 1, 3]"
"[7, 269]","[0, 2, 2, 0, 2, 3, 3, 0, 3, 0, 2, 0, 1, 3, 3, 0, 2, 2, 1, 0, 2, 3, 0, 3, 1, 1, 3, 0, 2, 3]"
