fav_partners,project_prefs
"[238, 257, 292]","[3, 1, 2, 3, 3, 3, 3, 3, 1, 0, 2, 0, 3, 1, 0, 2, 2, 0, 3, 1, 0, 1, 3, 2, 3, 1, 2, 2, 0, 3, 3, 2, 0, 0, 0, 0, 1, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 2, 2, 1, 1, 2, 0, 1, 0, 3, 1, 1, 3, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 3, 0]"
"[445, 68]","[1, 0, 2, 1, 3, 0, 0, 3, 0, 3, 0, 2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 3, 0, 3, 1, 3, 3, 3, 3, 0, 1, 2, 0, 0, 1, 2, 3, 0, 2, 0, 2, 3, 2, 3, 0, 3, 0, 0, 0, 3, 3, 0, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 3, 0, 2, 0, 3, 2, 2, 3, 2, 1, 1, 1, 1, 3, 3]"
"[162, 46, 23, 69, 429]","[1, 2, 2, 1, 3, 2, 0, 3, 3, 1, 2, 3, 2, 3, 2, 0, 2, 1, 3, 2, 0, 3, 3, 1, 1, 2, 2, 2, 0, 3, 0, 1, 3, 3, 2, 1, 3, 0, 0, 2, 0, 1, 1, 1, 0, 2, 0, 1, 3, 2, 2, 2, 1, 0, 0, 2, 1, 1, 2, 1, 2, 2, 1, 1, 3, 0, 1, 2, 2, 1, 1, 0, 0, 3, 2, 3, 2, 2, 3, 3]"
[151],"[1, 0, 3, 2, 2, 1, 2, 0, 3, 3, 3, 2, 3, 1, 1, 3, 0, 3, 3, 1, 0, 0, 1, 3, 1, 1, 3, 0, 1, 3, 0, 0, 1, 2, 3, 2, 2, 2, 1, 3, 1, 3, 2, 0, 0, 2, 0, 3, 2, 1, 3, 1, 1, 2, 0, 1, 3, 3, 0, 3, 3, 1, 2, 2, 0, 0, 0, 3, 1, 1, 2, 1, 3, 1, 1, 2, 0, 2, 0, 2]"
[25],"[3, 1, 0, 1, 1, 2, 3, 0, 3, 1, 3, 0, 0, 2, 1, 3, 2, 1, 0, 0, 1, 3, 2, 0, 0, 1, 2, 3, 3, 0, 3, 1, 2, 1, 0, 2, 0, 1, 1, 3, 2, 0, 1, 3, 0, 1, 3, 0, 2, 0, 3, 3, 0, 3, 1, 1, 3, 3, 2, 3, 2, 1, 0, 0, 3, 3, 1, 3, 0, 1, 0, 2, 3, 0, 1, 2, 2, 1, 3, 2]"
"[20, 32, 459, 579]","[3, 2, 3, 2, 2, 3, 0, 0, 3, 1, 2, 3, 0, 3, 0, 0, 1, 3, 2, 3, 1, 0, 1, 2, 2, 1, 2, 2, 3, 2, 0, 0, 2, 1, 2, 1, 3, 0, 3, 1, 1, 3, 1, 2, 3, 0, 1, 1, 1, 0, 1, 3, 3, 1, 1, 3, 0, 1, 3, 2, 2, 3, 0, 3, 1, 1, 0, 1, 1, 2, 1, 2, 0, 2, 0, 3, 1, 1, 0, 1]"
"[471, 583]","[2, 3, 0, 2, 0, 0, 3, 0, 3, 0, 0, 2, 0, 2, 0, 0, 3, 2, 0, 0, 1, 0, 2, 3, 0, 1, 0, 2, 1, 1, 2, 1, 1, 0, 0, 2, 3, 2, 2, 3, 3, 0, 1, 3, 1, 2, 1, 1, 0, 0, 3, 0, 0, 2, 0, 1, 1, 2, 3, 3, 1, 1, 1, 1, 3, 2, 0, 0, 2, 2, 0, 3, 3, 0, 1, 3, 3, 1, 2, 0]"
"[176, 786]","[0, 1, 1, 0, 1, 2, 1, 0, 1, 3, 2, 1, 2, 3, 1, 1, 3, 0, 0, 0, 1, 0, 2, 2, 3, 2, 3, 1, 3, 2, 2, 1, 3, 2, 1, 3, 1, 0, 2, 3, 0, 2, 2, 0, 1, 3, 0, 2, 2, 3, 3, 0, 1, 1, 1, 1, 3, 2, 3, 0, 0, 1, 1, 3, 0, 3, 2, 3, 3, 1, 1, 3, 1, 3, 3, 0, 2, 3, 2, 0]"
"[238, 253, 42]","[3, 1, 3, 3, 0, 2, 3, 2, 0, 0, 2, 3, 2, 1, 3, 3, 2, 3, 2, 1, 0, 0, 2, 3, 2, 2, 3, 3, 1, 3, 0, 2, 1, 2, 1, 2, 2, 0, 2, 0, 0, 2, 1, 3, 0, 0, 2, 3, 3, 3, 0, 2, 0, 2, 0, 0, 2, 0, 0, 1, 3, 2, 3, 2, 1, 2, 0, 3, 2, 3, 2, 3, 3, 3, 0, 2, 2, 2, 0, 1]"
"[410, 549]","[3, 0, 2, 0, 2, 2, 1, 2, 3, 2, 2, 0, 0, 0, 3, 1, 0, 1, 2, 3, 2, 3, 1, 1, 0, 1, 3, 1, 3, 0, 2, 1, 0, 3, 2, 2, 0, 2, 2, 3, 0, 1, 1, 2, 3, 0, 2, 2, 1, 0, 1, 3, 1, 3, 3, 2, 1, 3, 2, 0, 0, 1, 3, 3, 1, 2, 0, 2, 2, 3, 1, 1, 2, 3, 2, 1, 1, 1, 0, 3]"
"[153, 161, 391, 364, 468]","[2, 0, 3, 1, 3, 2, 2, 3, 0, 0, 3, 1, 0, 0, 3, 1, 2, 2, 3, 3, 3, 0, 1, 1, 1, 0, 1, 3, 2, 1, 1, 2, 3, 0, 0, 1, 2, 1, 0, 0, 3, 3, 3, 1, 0, 2, 3, 3, 1, 1, 2, 2, 0, 0, 3, 1, 1, 1, 0, 1, 2, 1, 3, 3, 1, 3, 1, 3, 3, 3, 0, 0, 2, 0, 1, 1, 3, 1, 2, 3]"
"[115, 431, 353, 176]","[3, 3, 3, 0, 0, 3, 1, 2, 2, 0, 2, 2, 0, 3, 3, 3, 1, 1, 3, 0, 2, 3, 0, 1, 2, 2, 0, 3, 2, 0, 0, 3, 2, 3, 0, 0, 3, 3, 2, 0, 0, 0, 0, 3, 3, 3, 3, 2, 1, 2, 3, 3, 0, 0, 1, 2, 0, 3, 3, 1, 3, 0, 2, 3, 1, 0, 1, 2, 0, 3, 0, 1, 1, 2, 2, 0, 3, 3, 1, 3]"
[261],"[0, 3, 0, 1, 2, 1, 1, 2, 1, 2, 1, 1, 0, 1, 1, 0, 3, 3, 3, 1, 3, 2, 1, 0, 0, 0, 1, 0, 3, 1, 2, 3, 1, 0, 2, 1, 3, 2, 2, 1, 1, 1, 0, 2, 1, 0, 3, 2, 1, 2, 1, 1, 1, 0, 3, 2, 0, 1, 2, 1, 0, 3, 3, 2, 3, 3, 1, 2, 2, 1, 3, 2, 0, 3, 1, 3, 3, 2, 2, 1]"
[652],"[0, 1, 2, 1, 1, 3, 3, 3, 0, 2, 0, 3, 0, 0, 2, 2, 0, 0, 1, 1, 0, 0, 0, 3, 0, 2, 3, 1, 0, 2, 0, 1, 1, 1, 0, 1, 3, 1, 0, 0, 2, 3, 1, 1, 2, 3, 3, 2, 2, 0, 1, 0, 2, 2, 0, 3, 2, 2, 1, 1, 3, 1, 3, 0, 2, 2, 2, 0, 1, 3, 0, 3, 2, 2, 3, 0, 2, 0, 0, 1]"
"[781, 581]","[1, 0, 3, 1, 0, 1, 0, 2, 2, 2, 3, 1, 2, 1, 3, 0, 1, 3, 3, 1, 3, 3, 0, 3, 1, 0, 0, 2, 2, 2, 1, 2, 2, 3, 0, 1, 3, 0, 0, 0, 1, 1, 1, 0, 3, 3, 3, 3, 3, 1, 1, 3, 1, 0, 1, 3, 3, 1, 0, 1, 3, 1, 1, 0, 3, 1, 3, 0, 2, 3, 1, 0, 3, 3, 1, 3, 3, 1, 0, 0]"
"[300, 594]","[1, 0, 1, 3, 0, 0, 3, 1, 2, 0, 2, 1, 1, 3, 1, 2, 0, 1, 2, 3, 1, 0, 1, 1, 2, 0, 0, 0, 1, 1, 0, 2, 3, 1, 3, 0, 1, 3, 1, 3, 1, 1, 2, 1, 2, 2, 3, 1, 0, 2, 0, 2, 3, 3, 1, 0, 1, 0, 1, 3, 2, 2, 3, 0, 1, 2, 1, 0, 0, 3, 3, 0, 0, 0, 2, 1, 2, 1, 2, 0]"
[35],"[1, 2, 1, 3, 1, 3, 3, 2, 0, 2, 3, 1, 3, 3, 2, 0, 1, 3, 0, 2, 1, 1, 0, 2, 2, 0, 0, 3, 0, 0, 0, 3, 0, 2, 0, 1, 1, 2, 0, 1, 2, 2, 1, 1, 0, 2, 1, 0, 3, 1, 1, 1, 2, 0, 1, 3, 0, 1, 1, 0, 2, 2, 2, 3, 0, 1, 1, 1, 3, 1, 0, 0, 2, 3, 0, 2, 1, 0, 3, 3]"
"[655, 187, 334, 523]","[0, 0, 2, 2, 0, 0, 0, 2, 0, 3, 1, 3, 3, 3, 2, 0, 2, 3, 2, 1, 2, 1, 3, 0, 0, 3, 0, 0, 1, 0, 1, 1, 3, 1, 2, 3, 3, 1, 0, 3, 2, 1, 1, 0, 3, 1, 0, 2, 0, 1, 3, 1, 0, 3, 2, 3, 0, 2, 1, 0, 0, 1, 1, 3, 1, 2, 0, 2, 1, 2, 2, 1, 0, 2, 0, 0, 2, 3, 1, 3]"
"[399, 298, 201, 488, 384]","[0, 3, 1, 3, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 3, 3, 2, 0, 2, 0, 0, 2, 1, 0, 0, 2, 2, 0, 3, 3, 0, 2, 1, 1, 2, 2, 1, 3, 3, 3, 3, 3, 2, 3, 2, 2, 1, 0, 1, 3, 3, 1, 2, 2, 0, 3, 1, 1, 1, 1, 0, 3, 0, 3, 1, 3, 1, 1, 2, 2, 2, 3, 0, 3, 0, 0, 0, 2, 2, 3]"
[361],"[2, 0, 0, 0, 1, 1, 1, 0, 2, 2, 1, 2, 3, 3, 1, 0, 1, 3, 1, 1, 0, 3, 2, 3, 3, 1, 3, 0, 3, 1, 3, 2, 2, 0, 0, 3, 0, 0, 3, 3, 0, 2, 3, 0, 3, 2, 0, 1, 1, 3, 0, 3, 3, 1, 2, 2, 3, 3, 1, 2, 0, 1, 0, 0, 0, 1, 2, 1, 1, 2, 2, 2, 1, 2, 2, 3, 0, 2, 1, 3]"
[5],"[3, 2, 3, 2, 2, 3, 0, 0, 3, 1, 0, 3, 0, 3, 3, 0, 1, 1, 0, 3, 1, 0, 1, 3, 1, 1, 2, 2, 3, 2, 0, 0, 2, 1, 2, 2, 3, 0, 3, 1, 1, 1, 1, 2, 3, 0, 3, 1, 1, 0, 3, 3, 3, 1, 1, 3, 2, 1, 3, 2, 2, 3, 3, 3, 1, 3, 0, 1, 1, 2, 2, 2, 0, 3, 0, 3, 1, 0, 0, 1]"
"[132, 509, 593]","[0, 2, 1, 0, 3, 3, 0, 1, 2, 3, 1, 0, 1, 2, 2, 1, 3, 3, 3, 3, 2, 0, 3, 2, 0, 1, 0, 3, 3, 3, 1, 0, 3, 1, 0, 1, 0, 0, 0, 1, 0, 2, 2, 1, 2, 2, 0, 0, 0, 3, 0, 1, 2, 3, 1, 0, 2, 0, 3, 1, 2, 2, 3, 0, 0, 3, 2, 0, 1, 3, 0, 1, 3, 2, 0, 1, 0, 1, 1, 2]"
"[455, 572]","[3, 2, 1, 2, 3, 0, 0, 1, 1, 2, 1, 0, 3, 2, 0, 2, 1, 0, 0, 1, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 1, 2, 2, 1, 2, 0, 3, 2, 2, 1, 1, 3, 0, 0, 3, 0, 0, 3, 1, 3, 1, 1, 1, 1, 2, 0, 2, 2, 3, 0, 0, 1, 2, 2, 3, 3, 1, 0, 1, 1, 2, 0, 3, 1, 3, 1, 2, 2, 1, 1]"
"[2, 522, 119, 463, 353]","[1, 2, 2, 1, 3, 2, 3, 3, 3, 1, 2, 3, 1, 3, 1, 0, 2, 3, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 3, 0, 0, 3, 1, 3, 2, 2, 3, 2, 0, 2, 0, 1, 1, 1, 0, 2, 0, 1, 3, 2, 2, 2, 1, 0, 2, 3, 1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 1, 2, 2, 1, 1, 3, 2, 3, 2, 3, 2, 0, 3, 3]"
"[552, 674]","[3, 3, 1, 0, 1, 3, 0, 3, 2, 0, 1, 3, 0, 2, 0, 1, 3, 0, 0, 0, 3, 2, 1, 2, 1, 2, 3, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 3, 1, 2, 1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 0, 0, 2, 0, 0, 0, 0, 3, 0, 2, 1, 0, 1, 0, 1, 1, 2, 1, 3, 3, 3, 2, 0, 3, 0, 3, 0]"
"[4, 616]","[1, 1, 0, 1, 3, 1, 3, 0, 3, 1, 2, 0, 0, 2, 1, 2, 2, 1, 2, 0, 3, 3, 2, 2, 2, 1, 2, 3, 3, 0, 3, 1, 2, 2, 0, 2, 0, 1, 1, 3, 2, 1, 1, 0, 0, 1, 0, 2, 2, 0, 3, 3, 0, 3, 1, 1, 3, 3, 2, 3, 3, 1, 0, 1, 3, 3, 1, 3, 0, 1, 0, 2, 3, 0, 1, 2, 2, 1, 3, 2]"
"[216, 70, 367]","[3, 3, 1, 0, 1, 1, 3, 0, 3, 3, 2, 2, 0, 1, 2, 2, 1, 0, 3, 1, 2, 0, 1, 0, 2, 1, 2, 3, 1, 2, 0, 1, 1, 2, 3, 3, 1, 2, 1, 0, 3, 3, 0, 3, 3, 0, 1, 2, 0, 0, 0, 1, 3, 2, 2, 3, 3, 1, 3, 3, 3, 2, 3, 1, 3, 2, 3, 0, 3, 3, 0, 1, 1, 0, 2, 3, 2, 3, 2, 3]"
"[24, 481, 789, 357]","[3, 3, 1, 1, 1, 3, 0, 3, 2, 0, 1, 3, 0, 2, 0, 1, 3, 0, 1, 2, 3, 2, 1, 2, 1, 2, 1, 0, 0, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 3, 1, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 3, 3, 1, 2, 2, 0, 3, 1, 1, 1, 3, 3, 3, 3, 0, 0, 0, 3, 0, 3, 0]"
[652],"[3, 1, 0, 1, 3, 1, 2, 3, 0, 1, 1, 1, 0, 3, 0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 0, 1, 0, 2, 0, 0, 3, 0, 0, 0, 3, 0, 3, 0, 2, 2, 1, 3, 3, 0, 2, 0, 0, 3, 0, 2, 2, 2, 2, 3, 2, 0, 3, 3, 3, 2, 3, 2, 0, 0, 0, 3, 2, 3, 1, 3, 3]"
"[525, 685, 513, 767, 340]","[1, 0, 2, 0, 2, 0, 0, 2, 0, 2, 3, 3, 1, 2, 3, 3, 0, 3, 2, 3, 1, 2, 2, 1, 2, 2, 0, 1, 2, 1, 3, 2, 3, 2, 3, 2, 3, 0, 0, 2, 0, 1, 3, 0, 1, 0, 1, 1, 2, 2, 2, 0, 0, 3, 3, 3, 3, 2, 1, 3, 3, 2, 2, 3, 1, 2, 1, 3, 3, 2, 2, 2, 1, 1, 2, 3, 1, 3, 1, 3]"
"[451, 591]","[0, 1, 1, 2, 0, 0, 2, 1, 3, 2, 0, 0, 3, 3, 3, 3, 3, 1, 2, 1, 2, 3, 0, 0, 0, 2, 3, 2, 2, 0, 2, 3, 1, 2, 1, 0, 3, 3, 0, 2, 0, 0, 1, 1, 3, 0, 2, 3, 1, 2, 2, 3, 1, 3, 0, 2, 0, 2, 3, 0, 0, 3, 1, 1, 3, 3, 2, 3, 1, 2, 3, 3, 0, 1, 3, 3, 0, 3, 2, 0]"
"[678, 162, 253]","[3, 1, 3, 1, 1, 1, 2, 2, 2, 2, 1, 3, 2, 0, 2, 2, 3, 0, 3, 1, 2, 2, 3, 2, 0, 1, 1, 3, 0, 1, 3, 1, 2, 1, 0, 1, 0, 3, 3, 1, 0, 2, 2, 2, 0, 1, 2, 2, 2, 0, 1, 3, 1, 2, 2, 3, 2, 2, 3, 3, 0, 3, 2, 1, 0, 3, 3, 2, 3, 1, 2, 0, 2, 2, 0, 3, 2, 1, 3, 0]"
"[5, 269, 370, 440, 749]","[1, 2, 3, 2, 2, 2, 3, 0, 3, 1, 3, 3, 2, 3, 2, 0, 2, 3, 2, 0, 1, 0, 1, 1, 2, 1, 3, 2, 3, 2, 0, 0, 1, 1, 2, 1, 2, 0, 3, 1, 1, 1, 0, 2, 3, 0, 1, 1, 1, 0, 1, 3, 3, 0, 1, 3, 0, 1, 3, 2, 2, 3, 0, 3, 1, 2, 0, 1, 1, 2, 1, 2, 2, 0, 0, 3, 1, 3, 0, 1]"
"[43, 15, 523]","[1, 0, 2, 3, 0, 3, 3, 1, 2, 0, 2, 1, 1, 3, 1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 2, 3, 0, 0, 1, 0, 1, 2, 3, 1, 3, 0, 1, 3, 1, 3, 1, 3, 3, 3, 0, 2, 3, 1, 0, 0, 0, 2, 3, 0, 1, 3, 1, 2, 1, 3, 0, 2, 3, 0, 1, 2, 1, 0, 0, 3, 0, 0, 0, 2, 2, 1, 2, 1, 0, 0]"
[65],"[2, 3, 3, 0, 2, 2, 0, 3, 3, 3, 1, 0, 2, 1, 2, 1, 1, 1, 0, 1, 1, 1, 2, 2, 1, 0, 3, 2, 2, 0, 1, 0, 3, 3, 2, 0, 0, 1, 3, 0, 0, 1, 3, 3, 0, 1, 0, 2, 0, 3, 2, 3, 1, 1, 1, 0, 2, 2, 2, 2, 2, 0, 3, 1, 3, 3, 2, 2, 3, 1, 0, 1, 3, 0, 3, 3, 1, 1, 1, 3]"
"[211, 768, 161, 560]","[1, 3, 0, 0, 3, 0, 2, 1, 3, 2, 0, 3, 2, 2, 0, 0, 1, 1, 0, 0, 1, 2, 2, 1, 2, 3, 2, 3, 0, 0, 2, 1, 2, 3, 0, 2, 3, 2, 2, 0, 1, 2, 1, 0, 1, 0, 1, 1, 3, 2, 0, 3, 1, 1, 1, 1, 0, 2, 2, 3, 3, 1, 3, 1, 0, 0, 3, 1, 0, 1, 3, 0, 2, 1, 0, 0, 0, 2, 3, 1]"
[730],"[2, 3, 3, 1, 1, 3, 0, 3, 3, 3, 0, 3, 3, 1, 0, 3, 1, 2, 1, 1, 0, 0, 2, 0, 2, 0, 0, 3, 0, 1, 1, 3, 0, 2, 0, 2, 1, 0, 0, 1, 2, 1, 0, 3, 2, 0, 0, 3, 1, 3, 3, 2, 0, 2, 0, 3, 2, 0, 3, 0, 1, 1, 3, 0, 0, 3, 1, 1, 0, 2, 3, 3, 3, 1, 3, 3, 3, 0, 2, 0]"
"[385, 677, 247]","[3, 1, 1, 3, 2, 1, 3, 2, 2, 3, 2, 0, 3, 1, 0, 1, 3, 3, 2, 1, 1, 3, 3, 1, 1, 2, 0, 2, 1, 2, 2, 0, 1, 2, 0, 0, 1, 2, 2, 3, 1, 0, 0, 1, 1, 2, 2, 1, 0, 0, 0, 0, 2, 1, 0, 3, 1, 1, 1, 0, 3, 3, 0, 1, 1, 3, 1, 3, 1, 2, 1, 3, 3, 1, 0, 0, 2, 2, 1, 1]"
"[440, 618]","[2, 1, 1, 3, 3, 1, 1, 0, 1, 2, 1, 2, 0, 2, 0, 1, 0, 0, 3, 2, 0, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 1, 1, 3, 3, 2, 0, 2, 3, 0, 2, 2, 3, 0, 2, 0, 1, 0, 1, 0, 1, 0, 2, 1, 2, 1, 2, 2, 0, 0, 1, 1, 1, 3, 0, 0, 3, 0, 2, 0, 2, 3, 3, 1, 2, 0, 0, 1, 3]"
"[294, 681, 346, 319, 610]","[2, 3, 3, 2, 2, 3, 0, 1, 2, 2, 3, 1, 1, 1, 2, 3, 3, 0, 3, 0, 2, 1, 2, 1, 1, 1, 3, 1, 0, 0, 1, 3, 2, 2, 3, 0, 3, 2, 1, 3, 1, 1, 1, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 0, 3, 3, 3, 0, 1, 3, 2, 2, 2, 1, 1, 0, 1, 2, 1, 3, 0, 0, 2, 0, 2, 2, 0, 0, 1, 2]"
"[746, 281]","[2, 3, 2, 3, 1, 1, 1, 3, 3, 1, 0, 3, 0, 0, 3, 0, 3, 1, 3, 1, 3, 1, 0, 1, 2, 3, 1, 2, 0, 2, 0, 0, 3, 0, 2, 3, 2, 2, 0, 1, 3, 2, 2, 2, 0, 0, 2, 0, 2, 1, 3, 2, 1, 1, 1, 3, 2, 3, 1, 2, 3, 1, 0, 1, 2, 1, 2, 3, 0, 1, 1, 1, 3, 1, 3, 3, 3, 0, 0, 3]"
